"position","const","created","modified","description","Title","Title type","Directors","You rated","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"17","tt0086312","Thu Oct  2 06:48:13 2014","Thu Oct  2 06:48:13 2014","","Η εξαφάνιση της Κάρεν Σίλκγουντ","Feature Film","Mike Nichols","","7.2","131","1983","biography, drama, history, thriller","14457","1983-12-14","http://www.imdb.com/title/tt0086312/"
"18","tt0330793","Sun Oct  5 15:35:26 2014","Sun Oct  5 15:35:26 2014","","Ο τιμωρός","Feature Film","Jonathan Hensleigh","","6.5","124","2004","action, crime, drama, thriller","127569","2004-04-15","http://www.imdb.com/title/tt0330793/"
"19","tt0427309","Sun Oct 19 14:42:46 2014","Sun Oct 19 14:42:46 2014","","The Great Debaters","Feature Film","Denzel Washington","","7.6","126","2007","biography, drama, romance","48939","2007-12-11","http://www.imdb.com/title/tt0427309/"
"20","tt0109707","Thu Oct 23 04:47:10 2014","Thu Oct 23 04:47:10 2014","","Ed Wood","Feature Film","Tim Burton","","7.9","127","1994","biography, comedy, drama","145560","1994-09-24","http://www.imdb.com/title/tt0109707/"
"21","tt1553919","Fri Oct 24 04:51:28 2014","Fri Oct 24 04:51:28 2014","","The Last Word","Documentary","Jesse Quackenbush","","7.3","90","2008","documentary","116","2008-03-01","http://www.imdb.com/title/tt1553919/"
"22","tt2199327","Fri Oct 24 05:10:31 2014","Fri Oct 24 05:10:31 2014","","Destressed","Documentary","Garry Pastore","","8.9","80","2014","documentary, biography, comedy, drama","44","2014-04-05","http://www.imdb.com/title/tt2199327/"
"23","tt3195644","Fri Oct 24 15:00:16 2014","Fri Oct 24 15:00:16 2014","","Παγιδευμένη ψυχή: Κεφάλαιο 3","Feature Film","Leigh Whannell","","6.1","97","2015","horror, thriller","60560","2015-05-28","http://www.imdb.com/title/tt3195644/"
"24","tt0986233","Mon Nov 10 15:24:31 2014","Mon Nov 10 15:24:31 2014","","Hunger","Feature Film","Steve McQueen","","7.6","96","2008","biography, drama","53186","2008-05-15","http://www.imdb.com/title/tt0986233/"
"25","tt0085407","Thu Nov 20 14:13:42 2014","Thu Nov 20 14:13:42 2014","","Νεκρή Ζώνη","Feature Film","David Cronenberg","","7.2","103","1983","horror, sci_fi, thriller","46569","1983-10-21","http://www.imdb.com/title/tt0085407/"
"26","tt0084516","Thu Nov 20 16:06:02 2014","Thu Nov 20 16:06:02 2014","","Το πνεύμα του κακού","Feature Film","Tobe Hooper","","7.4","114","1982","fantasy, horror, thriller","110555","1982-06-04","http://www.imdb.com/title/tt0084516/"
"27","tt0099864","Thu Nov 20 16:11:16 2014","Thu Nov 20 16:11:16 2014","","Το Αυτό","Mini-Series","Tommy Lee Wallace","","6.9","192","1990","drama, fantasy, horror, mystery, thriller","70825","1990-11-18","http://www.imdb.com/title/tt0099864/"
"28","tt0107290","Mon Nov 24 15:00:58 2014","Mon Nov 24 15:00:58 2014","","Τζουράσικ Παρκ","Feature Film","Steven Spielberg","","8.1","127","1993","adventure, sci_fi, thriller","646456","1993-06-09","http://www.imdb.com/title/tt0107290/"
"29","tt0087800","Fri Nov 28 16:43:15 2014","Fri Nov 28 16:43:15 2014","","Εφιάλτης στο δρόμο με τις λεύκες","Feature Film","Wes Craven","","7.5","91","1984","horror","156437","1984-10","http://www.imdb.com/title/tt0087800/"
"30","tt1073105","Fri Nov 28 16:45:29 2014","Fri Nov 28 16:45:29 2014","","Η Κάθοδος 2","Feature Film","Jon Harris","","5.8","94","2009","adventure, horror, thriller","33766","2009-08-24","http://www.imdb.com/title/tt1073105/"
"31","tt0077651","Fri Nov 28 17:29:46 2014","Fri Nov 28 17:29:46 2014","","Η νύχτα με τις μάσκες","Feature Film","John Carpenter","","7.9","91","1978","horror, thriller","165408","1978-10-25","http://www.imdb.com/title/tt0077651/"
"32","tt0070047","Fri Nov 28 17:34:56 2014","Fri Nov 28 17:34:56 2014","","Ο εξορκιστής","Feature Film","William Friedkin","","8.0","122","1973","horror","293826","1973-12-26","http://www.imdb.com/title/tt0070047/"
"33","tt0086541","Sat Nov 29 06:20:36 2014","Sat Nov 29 06:20:36 2014","","Βιντεοδρόμιο","Feature Film","David Cronenberg","","7.3","87","1983","horror, sci_fi, thriller","63309","1983-02-04","http://www.imdb.com/title/tt0086541/"
"34","tt0114323","Sat Nov 29 16:21:26 2014","Sat Nov 29 16:21:26 2014","","Safe","Feature Film","Todd Haynes","","7.2","119","1995","drama","8921","1995-01-25","http://www.imdb.com/title/tt0114323/"
"35","tt0110684","Sun Nov 30 16:08:08 2014","Sun Nov 30 16:08:08 2014","","Δεν είμαι κορόιδο κανενός","Feature Film","Robert Benton","","7.4","110","1994","comedy, drama","15346","1994-12-23","http://www.imdb.com/title/tt0110684/"
"36","tt0190590","Mon Dec  1 15:45:47 2014","Mon Dec  1 15:45:47 2014","","Ω αδελφέ, πού είσαι;","Feature Film","Joel Coen","","7.8","107","2000","adventure, comedy, crime, music","233452","2000-05-13","http://www.imdb.com/title/tt0190590/"
"37","tt0115195","Fri Dec 19 10:58:59 2014","Fri Dec 19 10:58:59 2014","","Gulliver's Travels","Mini-Series","Charles Sturridge","","7.0","186","1996","adventure, family, fantasy","5389","1996-02-04","http://www.imdb.com/title/tt0115195/"
"38","tt0985699","Fri Dec 19 15:28:06 2014","Fri Dec 19 15:28:06 2014","","Επιχείρηση Βαλκυρία","Feature Film","Bryan Singer","","7.1","121","2008","drama, history, thriller, war","189997","2008-12-25","http://www.imdb.com/title/tt0985699/"
"39","tt4171100","Sat Jan 10 16:40:00 2015","Sat Jan 10 16:40:00 2015","","3001: The Final Odyssey","Mini-Series","","","","","2017","sci_fi","","2017","http://www.imdb.com/title/tt4171100/"
"40","tt0096764","Tue Jan 20 17:36:32 2015","Tue Jan 20 17:36:32 2015","","Οι περιπέτειες του βαρόνου Μινχάουζεν","Feature Film","Terry Gilliam","","7.2","126","1988","adventure, comedy, fantasy","42585","1988-12-08","http://www.imdb.com/title/tt0096764/"
"41","tt0083866","Tue Jan 20 17:41:44 2015","Tue Jan 20 17:41:44 2015","","Ε.Τ. ο εξωγήινος","Feature Film","Steven Spielberg","","7.9","115","1982","family, sci_fi","293211","1982-05-26","http://www.imdb.com/title/tt0083866/"
"42","tt0107048","Sat Jan 24 18:23:22 2015","Sat Jan 24 18:23:22 2015","","Η μέρα της μαρμότας","Feature Film","Harold Ramis","","8.0","101","1993","comedy, fantasy, romance","459578","1993-02-04","http://www.imdb.com/title/tt0107048/"
"43","tt1188729","Sat Jan 31 14:08:36 2015","Sat Jan 31 14:08:36 2015","","Pandorum","Feature Film","Christian Alvart","","6.8","108","2009","action, horror, mystery, sci_fi, thriller","124722","2009-09-25","http://www.imdb.com/title/tt1188729/"
"44","tt0257360","Sat Jan 31 14:15:43 2015","Sat Jan 31 14:15:43 2015","","Σχετικά με τον Σμιντ","Feature Film","Alexander Payne","","7.2","125","2002","comedy, drama","109699","2002-05-22","http://www.imdb.com/title/tt0257360/"
"45","tt0079470","Sat Feb  7 08:54:52 2015","Sat Feb  7 08:54:52 2015","","Ένας προφήτης... μα τι προφήτης!","Feature Film","Terry Jones","","8.1","94","1979","comedy","283916","1979-08-17","http://www.imdb.com/title/tt0079470/"
"46","tt1263670","Mon Feb  9 13:58:26 2015","Mon Feb  9 13:58:26 2015","","Crazy Heart","Feature Film","Scott Cooper","","7.3","112","2009","drama, music, romance","70205","2009-12-06","http://www.imdb.com/title/tt1263670/"
"47","tt2637294","Sun Feb 15 14:21:34 2015","Sun Feb 15 14:21:34 2015","","Ένα τρελό τρελό τζακούζι 2","Feature Film","Steve Pink","","5.1","93","2015","comedy, sci_fi","29956","2015-02-20","http://www.imdb.com/title/tt2637294/"
"48","tt0083946","Tue Feb 17 02:45:37 2015","Tue Feb 17 02:45:37 2015","","Ο τυχοδιώκτης του Αμαζονίου","Feature Film","Werner Herzog","","8.2","158","1982","adventure, drama","23180","1982-03-04","http://www.imdb.com/title/tt0083946/"
"49","tt3312868","Thu Feb 19 10:31:00 2015","Thu Feb 19 10:31:00 2015","","Deep Web","Documentary","Alex Winter","","7.1","90","2015","documentary","6173","2015-03-15","http://www.imdb.com/title/tt3312868/"
"50","tt0457430","Sun Mar  8 11:33:51 2015","Sun Mar  8 11:33:51 2015","","Ο λαβύρινθος του Πάνα","Feature Film","Guillermo del Toro","","8.2","118","2006","drama, fantasy, war","487896","2006-05-27","http://www.imdb.com/title/tt0457430/"
"51","tt2040560","Wed Mar 25 18:17:20 2015","Wed Mar 25 18:17:20 2015","","The Pact","Feature Film","Nicholas McCarthy","","5.8","89","2012","horror, mystery, thriller","20159","2012-01-20","http://www.imdb.com/title/tt2040560/"
"52","tt0443680","Sun Apr  5 16:34:46 2015","Sun Apr  5 16:34:46 2015","","Η δολοφονία του Τζέσε Τζέιμς από τον δειλό Ρόμπερτ Φορντ","Feature Film","Andrew Dominik","","7.5","160","2007","biography, crime, drama, history, western","140701","2007-09-02","http://www.imdb.com/title/tt0443680/"
"53","tt2380247","Mon Apr 13 11:54:07 2015","Mon Apr 13 11:54:07 2015","","The Central Park Five","Documentary","Ken Burns, Sarah Burns","","7.7","119","2012","documentary, crime, history","4966","2012-05-24","http://www.imdb.com/title/tt2380247/"
"54","tt1972663","Mon Apr 13 11:54:37 2015","Mon Apr 13 11:54:37 2015","","Into the Abyss","Documentary","Werner Herzog","","7.3","107","2011","documentary, crime, drama","13183","2011-09-08","http://www.imdb.com/title/tt1972663/"
"55","tt1149362","Thu May  7 12:13:23 2015","Thu May  7 12:13:23 2015","","Η λευκή κορδέλα","Feature Film","Michael Haneke","","7.8","144","2009","drama, mystery","55052","2009-05-21","http://www.imdb.com/title/tt1149362/"
"56","tt0274309","Mon May 11 06:20:30 2015","Mon May 11 06:20:30 2015","","24 Hour Party People","Feature Film","Michael Winterbottom","","7.4","117","2002","biography, comedy, drama, music","27684","2002-02-13","http://www.imdb.com/title/tt0274309/"
"57","tt0103874","Fri May 15 11:47:13 2015","Fri May 15 11:47:13 2015","","Δράκουλας","Feature Film","Francis Ford Coppola","","7.5","128","1992","fantasy, horror","149247","1992-11-13","http://www.imdb.com/title/tt0103874/"
"58","tt0079641","Fri May 15 11:49:27 2015","Fri May 15 11:49:27 2015","","Νοσφεράτου: Ο Δράκουλας της Νύχτας","Feature Film","Werner Herzog","","7.6","107","1979","horror","24431","1979-01-17","http://www.imdb.com/title/tt0079641/"
"59","tt0099875","Fri May 15 11:58:40 2015","Fri May 15 11:58:40 2015","","Jekyll & Hyde","TV Movie","David Wickes","","6.2","96","1990","horror, thriller","784","1990-01-06","http://www.imdb.com/title/tt0099875/"
"60","tt0080678","Fri Jun 26 19:12:24 2015","Fri Jun 26 19:12:24 2015","","Ο άνθρωπος ελέφαντας","Feature Film","David Lynch","","8.2","124","1980","biography, drama","169226","1980-10-02","http://www.imdb.com/title/tt0080678/"
"61","tt0056241","Fri Jun 26 19:15:08 2015","Fri Jun 26 19:15:08 2015","","The Miracle Worker","Feature Film","Arthur Penn","","8.1","106","1962","biography, drama","12657","1962-05-23","http://www.imdb.com/title/tt0056241/"
"62","tt0089560","Mon Jun 29 19:27:16 2015","Mon Jun 29 19:27:16 2015","","Maska","Feature Film","Peter Bogdanovich","","7.2","120","1985","biography, drama","21171","1985-03-08","http://www.imdb.com/title/tt0089560/"
"63","tt0052357","Tue Jul  7 13:59:19 2015","Tue Jul  7 13:59:19 2015","","Δεσμώτης του ιλίγγου","Feature Film","Alfred Hitchcock","","8.4","128","1958","mystery, romance, thriller","261870","1958-05-09","http://www.imdb.com/title/tt0052357/"
"64","tt0050083","Tue Jul  7 14:05:17 2015","Tue Jul  7 14:05:17 2015","","Οι δώδεκα ένορκοι","Feature Film","Sidney Lumet","","8.9","96","1957","crime, drama","475268","1957-04-10","http://www.imdb.com/title/tt0050083/"
"65","tt0049470","Tue Jul  7 14:07:23 2015","Tue Jul  7 14:07:23 2015","","Ο άνθρωπος που γνώριζε πολλά","Feature Film","Alfred Hitchcock","","7.5","120","1956","drama, thriller","43908","1956-04-29","http://www.imdb.com/title/tt0049470/"
"66","tt0065571","Thu Sep 24 15:41:33 2015","Thu Sep 24 15:41:33 2015","","Ο Κομφορμίστας","Feature Film","Bernardo Bertolucci","","8.1","111","1970","drama","18845","1970-07-01","http://www.imdb.com/title/tt0065571/"
"67","tt0462504","Mon Oct 19 14:16:12 2015","Mon Oct 19 14:16:12 2015","","Η αυγή της απόδρασης","Feature Film","Werner Herzog","","7.3","120","2006","adventure, biography, drama, war","86556","2006-09-09","http://www.imdb.com/title/tt0462504/"
"68","tt0192335","Tue Nov  3 13:18:41 2015","Tue Nov  3 13:18:41 2015","","Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.","Documentary","Errol Morris","","7.5","91","1999","documentary, biography","4812","1999-09-16","http://www.imdb.com/title/tt0192335/"
"69","tt2302755","Fri Nov  6 16:11:05 2015","Fri Nov  6 16:11:05 2015","","Ο Όλυμπος έπεσε","Feature Film","Antoine Fuqua","","6.5","119","2013","action, thriller","211310","2013-03-18","http://www.imdb.com/title/tt2302755/"
"70","tt0338013","Fri Nov  6 16:14:35 2015","Fri Nov  6 16:14:35 2015","","Η αιώνια λιακάδα ενός καθαρού μυαλού","Feature Film","Michel Gondry","","8.3","108","2004","drama, romance, sci_fi","699260","2004-03-09","http://www.imdb.com/title/tt0338013/"
"71","tt0803096","Fri Nov  6 16:17:40 2015","Fri Nov  6 16:17:40 2015","","Warcraft: Η σύγκρουση δύο κόσμων","Feature Film","Duncan Jones","","7.0","123","2016","action, adventure, fantasy","174297","2016-05-24","http://www.imdb.com/title/tt0803096/"
"72","tt0280491","Fri Nov  6 16:24:02 2015","Fri Nov  6 16:24:02 2015","","Ματωμένη Κυριακή","Feature Film","Paul Greengrass","","7.7","107","2002","drama, history, war","20242","2002-01-16","http://www.imdb.com/title/tt0280491/"
"73","tt3799694","Sun Dec  6 14:20:53 2015","Sun Dec  6 14:20:53 2015","","The Nice Guys","Feature Film","Shane Black","","7.4","116","2016","action, comedy, crime, mystery, thriller","150854","2016-05-15","http://www.imdb.com/title/tt3799694/"
"74","tt0414993","Thu Dec 17 13:17:03 2015","Thu Dec 17 13:17:03 2015","","Η πηγή της ζωής","Feature Film","Darren Aronofsky","","7.3","96","2006","drama, sci_fi","196287","2006-09-04","http://www.imdb.com/title/tt0414993/"
"75","tt4196776","Mon Feb  8 11:05:02 2016","Mon Feb  8 11:05:02 2016","","Τζέισον Μπορν","Feature Film","Paul Greengrass","","6.7","123","2016","action, thriller","135278","2016-07-03","http://www.imdb.com/title/tt4196776/"
"76","tt5275828","Mon Feb  8 11:05:45 2016","Mon Feb  8 11:05:45 2016","","Lo and Behold, Reveries of the Connected World","Documentary","Werner Herzog","","7.1","98","2016","documentary","5343","2016-01-23","http://www.imdb.com/title/tt5275828/"
"77","tt4094724","Wed Feb 10 19:12:16 2016","Wed Feb 10 19:12:16 2016","","Κάθαρση: Έτος εκλογών","Feature Film","James DeMonaco","","6.0","109","2016","action, horror, sci_fi, thriller","48654","2016-06-29","http://www.imdb.com/title/tt4094724/"
"78","tt1179933","Wed Feb 10 19:14:45 2016","Wed Feb 10 19:14:45 2016","","10 Cloverfield Lane","Feature Film","Dan Trachtenberg","","7.3","104","2016","drama, horror, mystery, sci_fi, thriller","173771","2016-03-08","http://www.imdb.com/title/tt1179933/"
"79","tt1528854","Wed Feb 24 18:07:22 2016","Wed Feb 24 18:07:22 2016","","Γύρισε ο μπαμπάς","Feature Film","Sean Anders","","6.1","96","2015","comedy, family","64885","2015-12-09","http://www.imdb.com/title/tt1528854/"
"80","tt0057831","Thu Mar  3 16:25:31 2016","Thu Mar  3 16:25:31 2016","","Alexis Zorbas","Feature Film","Michael Cacoyannis","","7.8","142","1964","comedy, drama","15902","1964-12-14","http://www.imdb.com/title/tt0057831/"
"81","tt0159784","Tue Mar 15 07:30:43 2016","Tue Mar 15 07:30:43 2016","","Takedown","Feature Film","Joe Chappelle","","6.3","96","2000","biography, crime, drama, thriller","5997","2000-02-02","http://www.imdb.com/title/tt0159784/"
"82","tt0105435","Tue Mar 15 07:31:37 2016","Tue Mar 15 07:31:37 2016","","Οι αθόρυβοι","Feature Film","Phil Alden Robinson","","7.1","126","1992","comedy, crime, drama, mystery, thriller","44961","1992-09-09","http://www.imdb.com/title/tt0105435/"
"83","tt0309614","Tue Mar 15 07:31:48 2016","Tue Mar 15 07:31:48 2016","","Freedom Downtime","Documentary","Emmanuel Goldstein","","7.6","121","2001","documentary, adventure","815","2001-09-22","http://www.imdb.com/title/tt0309614/"
"84","tt4062536","Tue Mar 15 15:13:24 2016","Tue Mar 15 15:13:24 2016","","Green Room","Feature Film","Jeremy Saulnier","","7.1","95","2015","crime, horror, thriller","54500","2015-05-17","http://www.imdb.com/title/tt4062536/"
"85","tt0470752","Sat Apr  2 15:58:44 2016","Sat Apr  2 15:58:44 2016","","Από μηχανής","Feature Film","Alex Garland","","7.7","108","2015","drama, mystery, sci_fi, thriller","323679","2015-01-21","http://www.imdb.com/title/tt0470752/"
"86","tt1242422","Thu May 12 17:31:15 2016","Thu May 12 17:31:15 2016","","Κελί 211","Feature Film","Daniel Monzón","","7.7","113","2009","action, drama, thriller","51738","2009-09-04","http://www.imdb.com/title/tt1242422/"
"87","tt0395169","Sat May 14 01:53:37 2016","Sat May 14 01:53:37 2016","","Hotel Rwanda","Feature Film","Terry George","","8.1","121","2004","biography, drama, history, war","275087","2004-09-11","http://www.imdb.com/title/tt0395169/"
"88","tt0102181","Mon Jun 27 19:28:31 2016","Mon Jun 27 19:28:31 2016","","Kafka","Feature Film","Steven Soderbergh","","7.0","98","1991","drama, mystery, sci_fi, thriller","8073","1991-11-15","http://www.imdb.com/title/tt0102181/"
"89","tt4425200","Sun Oct 16 09:32:28 2016","Sun Oct 16 09:32:28 2016","","John Wick: Chapter 2","Feature Film","Chad Stahelski","","9.7","122","2017","action, crime, thriller","1779","2017-01-30","http://www.imdb.com/title/tt4425200/"
"90","tt1800302","Sun Oct 16 09:32:30 2016","Sun Oct 16 09:32:30 2016","","Gold","Feature Film","Stephen Gaghan","","6.5","120","2016","adventure, drama, thriller","1940","2016-12-29","http://www.imdb.com/title/tt1800302/"
"91","tt3748528","Sun Oct 16 09:32:32 2016","Sun Oct 16 09:32:32 2016","","Rogue One","Feature Film","Gareth Edwards","","8.1","133","2016","action, adventure, sci_fi","241967","2016-12-10","http://www.imdb.com/title/tt3748528/"
"92","tt2034800","Sun Oct 16 09:40:54 2016","Sun Oct 16 09:40:54 2016","","Το Σινικό τείχος","Feature Film","Zhang Yimou ","","6.3","103","2016","action, adventure, fantasy, thriller","10913","2016-12-06","http://www.imdb.com/title/tt2034800/"
"93","tt3647998","Wed Nov  2 00:19:47 2016","Wed Nov  2 00:19:47 2016","","Taboo","TV Series","","","9.1","59","2017","drama","19591","2017-01-07","http://www.imdb.com/title/tt3647998/"
"94","tt0100157","Sun Dec 18 14:55:05 2016","Sun Dec 18 14:55:05 2016","","Misery","Feature Film","Rob Reiner","","7.8","107","1990","crime, drama, thriller","139395","1990-11-29","http://www.imdb.com/title/tt0100157/"
"95","tt0756683","Sat Dec 24 02:13:20 2016","Sat Dec 24 02:13:20 2016","","The Man from Earth","Feature Film","Richard Schenkman","","8.0","87","2007","drama, fantasy, sci_fi","136557","2007-06-10","http://www.imdb.com/title/tt0756683/"
"96","tt0388139","Wed Jan 11 16:08:02 2017","Wed Jan 11 16:08:02 2017","","It's All Gone Pete Tong","Feature Film","Michael Dowse","","7.4","90","2004","biography, comedy, drama, music","17149","2004-09-12","http://www.imdb.com/title/tt0388139/"
"97","tt2400463","Tue Jan 24 22:43:13 2017","Tue Jan 24 22:43:13 2017","","The Invitation","Feature Film","Karyn Kusama","","6.7","100","2015","drama, mystery, thriller","35512","2015-03-13","http://www.imdb.com/title/tt2400463/"
"98","tt5895028","Tue Jan 24 22:45:32 2017","Tue Jan 24 22:45:32 2017","","13th","Documentary","Ava DuVernay","","8.3","100","2016","documentary, crime","8136","2016-09-30","http://www.imdb.com/title/tt5895028/"
